Rk,Player,Pos,Tm,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA
140,"Kevin Durant",PF,BRK,35,1157,324,603,85,189,239,414,210,238
141,"Anthony Edwards",SG,MIN,72,2314,505,1211,171,520,334,691,211,272
145,"Wayne Ellington",SG,DET,46,1012,149,338,116,275,33,63,28,35
146,"Joel Embiid",C,PHI,51,1585,461,899,58,154,403,745,471,548
147,"James Ennis",SF,ORL,41,986,115,243,45,104,70,139,70,87
148,"Drew Eubanks",C,SAS,54,755,116,205,2,2,114,203,77,106
151,"Derrick Favors",C,UTA,68,1039,155,243,0,2,155,241,59,80
156,"Dorian Finney-Smith",PF,DAL,60,1921,220,466,119,302,101,164,31,41
158,"Malachi Flynn",PG,TOR,47,928,127,340,54,168,73,172,45,56
159,"Bryn Forbes",SG,MIL,70,1354,250,529,154,341,96,188,47,61
161,"Evan Fournier",SF,ORL,26,787,170,369,73,188,97,181,98,123
161,"Evan Fournier",SF,ORL,26,787,170,369,73,188,97,181,98,123
162,"De'Aaron Fox",PG,SAC,58,2036,529,1110,103,320,426,790,300,417
168,"Danilo Gallinari",PF,ATL,51,1222,206,475,103,254,103,221,161,174
170,"Darius Garland",PG,CLE,54,1790,362,802,105,266,257,536,112,132
171,"Marc Gasol",C,LAL,52,993,88,194,50,122,38,72,36,50
172,"Rudy Gay",PF,SAS,63,1358,264,628,106,278,158,350,82,102
173,"Paul George",SF,LAC,54,1821,445,953,171,416,274,537,198,228
174,"Taj Gibson",PF,NYK,45,936,99,158,3,15,96,143,40,55
176,"Shai Gilgeous-Alexander",SG,OKC,35,1180,287,565,71,170,216,395,185,229
179,"Rudy Gobert",C,UTA,71,2187,391,579,0,4,391,575,233,374
180,"Brandon Goodwin",PG,ATL,47,620,84,223,32,103,52,120,28,43
181,"Aaron Gordon",PF,DEN,25,648,103,206,17,64,86,142,31,44
181,"Aaron Gordon",PF,ORL,25,736,128,293,42,112,86,181,66,105
181,"Aaron Gordon",PF,DEN,25,648,103,206,17,64,86,142,31,44
181,"Aaron Gordon",PF,ORL,25,736,128,293,42,112,86,181,66,105
182,"Eric Gordon",SG,HOU,27,789,159,367,69,210,90,157,94,114
183,"Devonte' Graham",PG,CHO,55,1659,252,669,179,477,73,192,133,158
184,"Jerami Grant",SF,DET,54,1829,400,932,115,329,285,603,290,343
185,"Danny Green",SF,PHI,69,1934,224,544,175,432,49,112,31,40
186,"Draymond Green",PF,GSW,63,1982,170,380,34,126,136,254,70,88
187,"JaMychal Green",PF,DEN,58,1120,173,374,79,198,94,176,46,57
189,"Jeff Green",C,BRK,68,1835,261,530,103,250,158,280,125,161
191,"Blake Griffin",PF,BRK,26,560,93,189,31,81,62,108,43,55
191,"Blake Griffin",PF,DET,20,626,81,222,39,124,42,98,44,62
191,"Blake Griffin",PF,BRK,26,560,93,189,31,81,62,108,43,55
191,"Blake Griffin",PF,DET,20,626,81,222,39,124,42,98,44,62
193,"Rui Hachimura",PF,WAS,57,1797,310,648,45,137,265,511,124,161
195,"Tyrese Haliburton",PG,SAC,58,1746,292,619,121,296,171,323,48,56
198,"RJ Hampton",SG,ORL,26,655,111,253,22,69,89,184,46,70
198,"RJ Hampton",SG,ORL,26,655,111,253,22,69,89,184,46,70
199,"Tim Hardaway Jr",SG,DAL,70,1985,407,911,207,529,200,382,142,174
200,"James Harden",PG,BRK,36,1319,282,599,96,262,186,337,225,263
200,"James Harden",PG,BRK,36,1319,282,599,96,262,186,337,225,263
201,"Maurice Harkless",PF,SAC,26,648,64,152,18,73,46,79,33,41
201,"Maurice Harkless",PF,SAC,26,648,64,152,18,73,46,79,33,41
203,"Montrezl Harrell",C,LAL,69,1580,375,603,0,10,375,593,181,256
204,"Gary Harris",SG,DEN,19,581,69,156,24,75,45,81,22,30
204,"Gary Harris",SG,DEN,19,581,69,156,24,75,45,81,22,30
206,"Joe Harris",SF,BRK,69,2141,357,707,211,444,146,263,49,63
207,"Tobias Harris",PF,PHI,62,2014,473,924,82,208,391,716,182,204
209,"Josh Hart",SF,NOP,47,1349,151,344,63,193,88,151,69,89
212,"Jaxson Hayes",C,NOP,60,964,175,280,6,14,169,266,93,120
213,"Killian Hayes",PG,DET,26,670,71,201,20,72,51,129,14,17
214,"Gordon Hayward",SF,CHO,44,1496,311,658,85,205,226,453,156,185
215,"Juan Hernangomez",PF,MIN,52,900,130,299,55,168,75,131,60,97
216,"Willy Hernangomez",C,NOP,47,846,151,268,1,10,150,258,62,93
217,"Tyler Herro",SG,MIA,54,1635,307,699,107,297,200,402,94,117
218,"Buddy Hield",SG,SAC,71,2433,403,992,282,721,121,271,88,104
220,"Solomon Hill",PF,ATL,71,1513,107,298,68,212,39,86,35,46
223,"Aaron Holiday",PG,IND,66,1176,170,436,67,182,103,254,68,83
224,"Jrue Holiday",PG,MIL,59,1907,414,823,111,283,303,540,107,136
225,"Justin Holiday",SG,IND,72,2183,258,625,173,453,85,172,67,85
227,"Richaun Holmes",C,SAC,61,1782,366,575,2,11,364,564,135,170
228,"Rodney Hood",SF,POR,38,726,73,201,25,84,48,117,9,12
228,"Rodney Hood",SF,POR,38,726,73,201,25,84,48,117,9,12
